mean_storage_gib,sampled_mean_recovery_token_layers,exact_mean_recovery_token_layers,g,l
8.07606015,48670.79269409,48821.21955078,2678,42
8.08813264,48571.35064697,48746.13012487,2674,42
8.09115675,48570.06716919,48725.14731685,2673,42
8.10327074,48547.32781982,48672.70239030,2669,42
8.11238230,48235.67938232,48622.65085835,2666,42
8.16747614,48209.43963623,48365.85268715,2648,42
8.17673321,48146.15960693,48313.51567248,2645,42
8.17982342,48118.60684204,48297.54056446,2644,42
8.19220618,48097.65454102,48236.75353525,2640,42
8.20773154,47992.39187622,48199.21585578,2635,42
8.23897693,47927.26885986,48019.44286356,2625,42
8.24525402,47889.24670410,47987.51914348,2623,42
8.26098674,47793.13018799,47916.92141208,2618,42
8.26414160,47726.38385010,47895.91962408,2617,42
8.28311444,47590.07177734,47814.96744603,2611,42
8.31812672,47520.68328857,47656.30207170,2600,42
8.32772936,47498.67065430,47600.72948527,2597,42
8.33093503,47478.83984375,47583.53930446,2596,42
8.34378033,47205.23477173,47522.39928560,2592,42
8.37282767,47073.60003662,47388.16264084,2583,42
8.38255203,47015.98614502,47360.08986591,2580,42
8.39881611,46940.98638916,47281.02712697,2575,42
8.44139706,46919.71981812,47082.48490852,2562,42
8.45789034,46803.19558716,46999.94034906,2557,42
8.46781246,46794.75161743,46979.55889344,2554,42
8.49106715,46767.24401855,46860.84602515,2547,42
8.50441408,46643.68151855,46789.68826431,2543,42
8.51444945,46629.86248779,46746.26927673,2540,42
8.52786747,46625.38888550,46690.97046803,2536,42
8.53796026,46346.53152466,46636.37698162,2533,42
8.57177042,46333.98519897,46498.04575395,2523,42
8.57516259,46307.48263550,46503.12720087,2522,42
8.58877897,46111.04455566,46409.74902525,2518,42
8.62643236,45980.83779907,46243.87831812,2507,42
8.64711036,45880.61572266,46151.76109424,2501,42
8.66441587,45826.19512939,46085.98793701,2496,42
8.67831314,45763.64721680,46020.70423730,2492,42
8.69225406,45737.78979492,45957.51965948,2488,42
8.73434678,45613.38888550,45772.29610170,2476,42
8.75200498,45588.75695801,45699.90718209,2471,42
8.75554638,45389.49768066,45680.24832075,2470,42
8.76973135,45303.35800171,45649.81603518,2466,42
8.78753796,45267.65188599,45553.16504383,2461,42
8.81976751,45220.84979248,45404.71241129,2452,42
8.82336159,45180.38922119,45397.80114020,2451,42
8.85223150,45121.79440308,45276.80797219,2443,42
8.86673755,44924.08428955,45213.56222144,2439,42
8.89954696,44828.87823486,45095.93681906,2430,42
8.94367901,44670.06784058,44903.16898183,2418,42
8.96219674,44519.50946045,44826.30873269,2413,42
8.99946601,44315.90707397,44651.58653041,2403,42
9.04081782,44233.58319092,44484.46212554,2392,42
9.08636603,44051.09631348,44295.81287219,2380,42
9.12467412,43882.56320190,44144.16602483,2370,42
9.12852326,43869.09667969,44125.51078249,2369,42
9.16330750,43732.45852661,43987.32610867,2360,42
9.22187212,43627.67526245,43773.59343541,2345,42
9.24156364,43498.10305786,43684.45514354,2340,42
9.25737725,43365.93414307,43612.94874905,2336,42
9.28916119,43342.67230225,43507.25151075,2328,42
9.32117103,43253.97338867,43365.67651432,2320,42
9.32518813,43185.64004517,43346.74965425,2319,42
9.34935795,43058.23269653,43260.82921817,2313,42
9.38178338,43042.20913696,43125.82964117,2305,42
9.38585126,43039.08554077,43115.29508970,2304,42
9.38992446,42994.19177246,43095.68649031,2303,42
9.40216278,42839.66629028,43047.58833241,2300,42
9.42673522,42748.85507202,42955.36511963,2294,42
9.45969599,42701.75357056,42848.99233801,2286,42
9.47626852,42658.93167114,42765.14500285,2282,42
9.50122902,42615.73992920,42681.53460847,2276,42
9.51794581,42554.35308838,42606.55611144,2272,42
9.53471928,42490.54461670,42545.36569263,2268,42
9.54733345,42361.40951538,42525.16464284,2265,42
9.56421592,42357.00881958,42437.07820292,2261,42
9.57267660,42345.65182495,42406.62825037,2259,42
9.58539745,42257.44735718,42356.74328826,2256,42
9.60241001,42242.70004272,42293.56302544,2252,42
9.61520818,42237.35131836,42251.15475185,2249,42
9.61948398,42042.04748535,42226.78090822,2248,42
9.65381023,41817.05151367,42118.84964115,2240,42
9.67107028,41811.47760010,42038.01962598,2236,42
9.68838830,41788.31958008,41977.75466125,2232,42
9.69706853,41612.40039062,41960.16490384,2230,42
9.74949674,41600.37707520,41750.50518549,2218,42
9.77150818,41568.91387939,41671.25977674,2213,42
9.78918828,41493.43499756,41610.95292905,2209,42
9.80692948,41482.36328125,41568.63263337,2205,42
9.82028539,41354.34722900,41495.47835952,2202,42
9.84709511,41271.38104248,41411.26774973,2196,42
9.87856321,41170.20040894,41287.34159866,2189,42
9.88307403,41141.50717163,41275.38244962,2188,42
9.90116239,41122.29718018,41207.98088802,2184,42
9.91476670,41108.93508911,41186.06667393,2181,42
9.92386504,40980.04812622,41129.70331130,2179,42
9.93297430,40974.83392334,41104.45250955,2177,42
9.94667182,40859.10205078,41052.73641726,2174,42
9.96040554,40857.24826050,41009.52400348,2171,42
9.96958469,40828.57177734,40970.52959047,2169,42
9.99260370,40732.95095825,40887.29721470,2164,42
10.01572891,40612.12493896,40806.40267560,2159,42
10.05762494,40537.23501587,40661.83154917,2150,42
10.07635731,40491.65481567,40602.46455154,2146,42
10.09987302,40473.35211182,40518.24850575,2141,42
10.10458893,40451.30331421,40504.61946438,2140,42
10.12349860,40279.29266357,40435.71258629,2136,42
10.13297722,40176.13720703,40415.03638096,2134,42
10.19024099,40126.47680664,40211.80149420,2122,42
10.19503801,39978.89224243,40216.24972375,2121,42
10.23361402,39918.55300903,40066.44355756,2113,42
10.25786847,39834.02380371,39994.64937235,2108,42
10.29202245,39617.56939697,39873.30277070,2101,42
10.33133441,39581.78128052,39739.43552556,2093,42
10.37592048,39429.49206543,39592.87208513,2084,42
10.42591430,39249.98406982,39430.06058394,2074,42
10.44100655,39057.51861572,39381.23622776,2071,42
10.49163148,38993.71951294,39218.38660461,2061,42
10.53761469,38977.86566162,39077.46641253,2052,42
10.55303307,38963.20559692,39024.82549017,2049,42
10.56849658,38737.82986450,38973.23550676,2046,42
10.59436900,38605.91412354,38894.05629994,2041,42
10.64126157,38597.09680176,38743.17698182,2032,42
10.67802133,38583.32061768,38627.79541120,2025,42
10.68856987,38515.61859131,38600.62824937,2023,42
10.69385014,38365.23901367,38594.26915473,2022,42
10.72565812,38343.86947632,38483.67943532,2016,42
10.74696700,38243.65246582,38418.70811129,2012,42
10.78984010,38196.60583496,38287.99747400,2004,42
10.80600683,38168.38647461,38233.74755225,2001,42
10.81681104,38083.29486084,38201.74483026,1999,42
10.83305708,38008.86895752,38155.98285402,1996,42
10.87115807,37939.63354492,38035.21880878,1989,42
10.89305024,37933.66360474,37968.82230218,1985,42
10.90952377,37929.04492188,37936.45180255,1982,42
10.92053931,37765.11090088,37888.47826052,1980,42
10.93157143,37747.45623779,37867.65721434,1978,42
10.97037093,37717.96643066,37745.09578390,1971,42
10.97593548,37637.61642456,37729.44036856,1970,42
10.99266456,37470.52252197,37681.45542754,1967,42
11.01504888,37432.70590210,37618.52351848,1963,42
11.03190039,37166.80624390,37554.89239311,1960,42
11.12835828,37026.86849976,37276.59427741,1943,42
11.17433830,37001.10980225,37138.55922944,1935,42
11.18589144,36983.74581909,37111.28866671,1933,42
11.19167633,36980.96234131,37098.90000310,1932,42
11.20907051,36944.94326782,37050.37505962,1929,42
11.22652115,36869.82089233,36989.05073695,1926,42
11.23818343,36864.31253052,36955.93636406,1924,42
11.24986984,36669.74792480,36925.29249271,1922,42
11.30276295,36593.44876099,36772.42839557,1913,42
11.32643132,36517.99548340,36704.14208386,1909,42
11.35615611,36489.11804199,36621.09345191,1904,42
11.37406549,36432.67620850,36573.23267077,1901,42
11.38603520,36399.04138184,36547.27732472,1899,42
11.41607581,36333.50854492,36457.24839575,1894,42
11.43417646,36298.40237427,36402.36761663,1891,42
11.45839850,36274.04113770,36337.71647928,1887,42
11.48882057,36176.61853027,36258.38445962,1882,42
11.50103614,36068.51156616,36219.08457292,1880,42
11.54399234,35992.47277832,36100.96128604,1873,42
11.56250053,35901.31774902,36050.08613591,1870,42
11.60591822,35897.32437134,35931.95259905,1863,42
11.61214709,35859.02008057,35916.74162526,1862,42
11.64966347,35660.28503418,35813.52025748,1856,42
11.70006373,35512.39859009,35678.62173638,1848,42
11.72542722,35469.70639038,35614.57870542,1844,42
11.73815116,35384.12997437,35577.61262039,1842,42
11.78932195,35352.62142944,35443.47528852,1834,42
11.80218482,35251.72094727,35407.79353221,1832,42
11.83446321,35088.10028076,35329.44802555,1827,42
11.87995076,35080.40447998,35219.26717673,1820,42
11.91922393,35014.29895020,35104.72302928,1814,42
11.93237217,34946.93978882,35068.87620112,1812,42
11.96536720,34903.92431641,34994.05510194,1807,42
11.97199015,34889.24929810,34968.71324629,1806,42
11.97861856,34661.11718750,34953.39745160,1805,42
12.06546498,34522.08795166,34731.00676999,1792,42
12.09920232,34483.94921875,34652.04859595,1787,42
12.14675723,34476.53869629,34523.40029260,1780,42
12.16040991,34396.07345581,34501.63768736,1778,42
12.18095145,34290.90347290,34446.36928663,1775,42
12.24992368,34095.49829102,34278.04697995,1765,42
12.29168245,34073.12109375,34182.36840863,1759,42
12.30567003,34059.39843750,34129.90436510,1757,42
12.32670497,34010.85739136,34078.66616733,1754,42
12.34076826,33949.98385620,34044.44887255,1752,42
12.35486130,33795.83554077,34021.83014817,1750,42
12.39024363,33752.64245605,33925.60760139,1745,42
12.41156908,33647.84051514,33874.56381444,1742,42
12.47598857,33628.68890381,33720.66141834,1733,42
12.49039502,33524.76235962,33685.91418109,1731,42
12.51206725,33390.97695923,33634.17111883,1728,42
12.57022809,33261.73422241,33503.12853287,1720,42
12.61420538,33238.09365845,33402.37310363,1714,42
12.64369796,33205.84872437,33321.73759126,1710,42
12.70309091,33012.50714111,33196.60627439,1702,42
12.74050043,33010.66232300,33099.36180764,1697,42
12.78567964,32868.96081543,33000.10711289,1691,42
12.80081214,32842.87588501,32960.17080683,1689,42
12.82357685,32834.80856323,32907.03641496,1686,42
12.83117969,32776.60485840,32904.27035473,1685,42
12.87700818,32615.09716797,32794.02605297,1679,42
12.95412116,32603.80200195,32611.93312607,1669,42
12.96187957,32532.22817993,32609.45342955,1668,42
12.97743474,32461.65676880,32560.86458714,1666,42
12.99302356,32444.05419922,32527.64421436,1664,42
13.00865010,32389.60818481,32493.19825480,1662,42
13.04001744,32343.14559937,32420.78285322,1658,42
13.05575754,32202.50558472,32386.04331696,1656,42
13.12706115,32188.04415894,32229.13755986,1647,42
13.15100210,32005.96249390,32178.81164519,1644,42
13.18306032,31990.53634644,32107.66991633,1640,42
13.23953856,31919.56719971,31991.42623957,1633,42
13.28017962,31808.50531006,31898.81264919,1628,42
13.29650489,31720.65496826,31866.29432371,1626,42
13.32107010,31720.43606567,31810.16991583,1623,42
13.35396317,31564.25573730,31743.83298217,1619,42
13.38702113,31561.58828735,31670.35358065,1615,42
13.41192042,31445.00186157,31622.74963525,1612,42
13.47038405,31434.20761108,31496.67877832,1605,42
13.48718197,31358.52059937,31459.81095319,1603,42
13.52090126,31316.42889404,31397.27377273,1599,42
13.54630222,31226.49002075,31346.82883617,1596,42
13.60594741,30963.73986816,31218.08395992,1589,42
13.70942628,30894.40420532,31003.31497069,1577,42
13.77928998,30884.53338623,30867.04161896,1569,42
13.78807411,30742.60211182,30845.07079893,1568,42
13.81449061,30714.03259277,30794.47877052,1565,42
13.85874478,30536.77856445,30705.96345604,1560,42
13.88543406,30426.40814209,30651.82119418,1557,42
13.96612085,30419.66067505,30494.85473915,1548,42
13.97514293,30398.07659912,30482.08278192,1547,42
14.01135458,30267.87149048,30403.58594441,1543,42
14.04775270,30252.42343140,30332.34591565,1539,42
14.06602136,30205.45562744,30302.37382263,1537,42
14.07517526,30171.63696289,30280.86375614,1536,42
14.12111951,29950.08758545,30190.28506371,1531,42
14.20457832,29912.02505493,30032.87239213,1522,42
14.24198949,29886.13693237,29959.94859305,1518,42
14.27017703,29697.99728394,29907.37176163,1515,42
14.31740551,29649.76336670,29818.39153361,1510,42
14.34589094,29634.80508423,29772.45769054,1507,42
14.38405245,29503.65008545,29696.67297533,1503,42
14.46098622,29331.21606445,29550.73670226,1495,42
14.49976177,29317.54721069,29481.10159690,1491,42
14.55831646,29309.79196167,29378.96069704,1485,42
14.60747659,29219.03588867,29285.30391470,1480,42
14.63713220,29171.77603149,29230.59995940,1477,42
14.66690647,29073.83914185,29183.88157912,1474,42
14.70679862,28973.62890625,29105.40580259,1470,42
14.74690696,28858.08459473,29032.39075161,1466,42
14.80748081,28752.95333862,28926.06525393,1460,42
14.88902483,28707.56539917,28783.13617886,1452,42
14.90955100,28631.00320435,28749.03701696,1450,42
14.94044816,28575.82278442,28692.45505954,1447,42
14.98184250,28524.18011475,28623.15424785,1443,42
14.99222490,28500.05346680,28613.75686024,1442,42
15.01303812,28497.62646484,28575.35019265,1440,42
15.04436782,28409.79507446,28512.62779437,1437,42
15.11797588,28258.49374390,28388.59687740,1430,42
15.17099649,28181.84915161,28296.79764620,1425,42
15.22439022,28105.35568237,28206.70247930,1420,42
15.26737665,28066.99536133,28134.44016656,1416,42
15.31060660,27928.20111084,28062.29003871,1412,42
15.38685113,27861.60229492,27936.24726175,1405,42
15.39780533,27720.95794678,27918.42457558,1404,42
15.46385903,27712.87878418,27811.46036654,1398,42
15.48600300,27681.05300903,27776.14417186,1396,42
15.54164277,27611.01956177,27683.00332700,1391,42
15.57521621,27597.75543213,27637.71048229,1388,42
15.58644239,27551.41125488,27612.33921366,1387,42
15.59768017,27466.55987549,27603.89395711,1386,42
15.63150201,27451.43099976,27538.48123252,1383,42
15.69958197,27451.20422363,27429.04785495,1377,42
15.72240698,27395.19415283,27393.80974919,1375,42
15.73384483,27242.82745361,27374.29136371,1374,42
15.76825611,27203.69729614,27325.66496634,1371,42
15.84914280,27178.12100220,27192.78439222,1364,42
15.87240551,27120.21801758,27156.71507028,1362,42
15.88406241,27110.37155151,27138.72308628,1361,42
15.90742809,27098.22338867,27101.83089517,1359,42
15.91913536,27063.25097656,27088.60281740,1358,42
15.96614153,26922.65548706,27019.02201798,1354,42
15.97793893,26919.46185303,26993.16458884,1353,42
16.00158188,26867.89004517,26956.46796653,1351,42
16.02529440,26769.35079956,26921.72275728,1349,42
16.08488554,26739.84793091,26830.28244072,1344,42
16.14492210,26709.01028442,26737.74076226,1339,42
16.15698181,26631.12576294,26724.64195836,1338,42
16.19327451,26598.90078735,26665.84379816,1335,42
16.20540705,26537.98385620,26650.75878424,1334,42
16.21755998,26417.40689087,26628.43647756,1333,42
16.30313501,26401.20660400,26500.59025741,1326,42
16.35243995,26389.15277100,26434.62757137,1322,42
16.38961835,26343.67800903,26372.67166733,1319,42
16.42696422,26338.40927124,26318.02126198,1316,42
16.43944841,26267.42626953,26307.98223702,1315,42
16.45195582,26253.85311890,26282.85996414,1314,42
16.48958722,26242.54244995,26226.51607148,1311,42
16.51477014,26131.73812866,26190.90872609,1309,42
16.56536800,25992.19195557,26117.93780506,1305,42
16.57806632,25986.53427124,26098.26268674,1304,42
16.61627636,25932.93319702,26046.54042746,1301,42
16.66749979,25850.94265747,25972.09839490,1297,42
16.68035417,25837.34933472,25956.23701476,1296,42
16.75790516,25818.76889038,25841.40651459,1290,42
16.79695034,25794.45367432,25788.77761122,1287,42
16.81000544,25679.95355225,25772.55626644,1286,42
16.86243323,25559.17190552,25695.96172404,1282,42
16.87559056,25437.04803467,25679.19900080,1281,42
17.02169423,25404.43234253,25478.76004424,1270,42
17.04853149,25290.50576782,25439.69288131,1268,42
17.10246072,25289.67541504,25362.88926511,1264,42
17.11599604,25283.35879517,25344.71554728,1263,42
17.17035258,25158.31042480,25271.98394502,1259,42
17.19765879,25149.74118042,25241.18432082,1257,42
17.28010827,25146.61242676,25126.57488843,1251,42
17.29392685,25128.89224243,25106.98289302,1250,42
17.32163033,25021.28634644,25068.91015309,1248,42
17.33551532,24894.36059570,25049.88360712,1247,42
17.44740123,24859.81634521,24901.51615548,1239,42
17.48973162,24727.88629150,24846.61916238,1236,42
17.53226799,24666.94430542,24791.77387223,1233,42
17.60362388,24590.74563599,24700.18218382,1228,42
17.64671720,24553.52944946,24644.42666357,1225,42
17.73353992,24444.30740356,24533.71237429,1219,42
17.77727242,24372.09411621,24478.83500916,1216,42
17.88016054,24307.45254517,24345.30978169,1209,42
17.90977318,24286.70086670,24317.42997257,1207,42
17.93948983,24250.70330811,24271.08815591,1205,42
17.98424567,24157.18972778,24216.28978571,1202,42
18.02922561,24100.95852661,24160.93168007,1199,42
18.05933639,24055.38616943,24127.76909923,1197,42
18.07443179,23938.42202759,24103.72419628,1196,42
18.15027976,23889.16647339,24013.72979627,1191,42
18.21141788,23855.09204102,23943.18665181,1187,42
18.22676934,23791.91778564,23917.40460060,1186,42
18.28842556,23777.73526001,23844.45731354,1182,42
18.30390529,23684.21670532,23824.78641021,1181,42
18.33494318,23657.24511719,23786.92201108,1179,42
18.46015354,23581.69692993,23639.14349486,1171,42
18.49172274,23571.44470215,23605.98520101,1169,42
18.50755031,23431.70458984,23581.55912844,1168,42
18.57112529,23410.44638062,23507.04343796,1164,42
18.63513867,23402.39321899,23432.69164631,1160,42
18.69959510,23364.32342529,23358.11911188,1156,42
18.73198926,23282.01412964,23325.77676522,1154,42
18.76449926,23281.07730103,23283.15066785,1152,42
18.79711915,23248.42681885,23250.19974880,1150,42
18.81347362,23190.98150635,23228.04874495,1149,42
18.82985581,23113.45837402,23207.82727317,1148,42
18.86270395,23111.72100830,23173.81708118,1146,42
18.89566942,23098.71508789,23132.40534359,1144,42
18.91219471,23008.50250244,23113.82671617,1143,42
19.02868649,22920.94119263,22983.30437470,1136,42
19.06223440,22857.20889282,22944.62643837,1134,42
19.14662316,22847.28607178,22851.27813472,1129,42
19.16358863,22836.04437256,22838.95303905,1128,42
19.18058812,22711.64797974,22814.83281617,1127,42
19.24887981,22684.96508789,22744.90963809,1123,42
19.28321130,22585.65286255,22701.11614388,1121,42
19.35223916,22553.66305542,22625.74784725,1117,42
19.36957332,22480.26492310,22607.09447991,1116,42
19.45671284,22454.69702148,22512.52693647,1111,42
19.49178839,22276.07885742,22475.40003760,1109,42
19.65120794,22229.81988525,22305.21939778,1100,42
19.66908233,22224.35290527,22286.53936346,1099,42
19.72290013,22204.17630005,22233.66831033,1096,42
19.74090658,22148.18490601,22211.00146500,1095,42
19.75894465,22129.48123169,22192.18290282,1094,42
19.79512002,22092.58737183,22154.30119270,1092,42
19.88614055,22008.30346680,22060.69241231,1087,42
19.94115400,22001.64825439,22010.02180798,1084,42
19.97800291,21834.16687012,21965.19969280,1082,42
20.10804527,21759.52523804,21832.96110304,1075,42
20.16429772,21755.99563599,21775.81868118,1072,42
20.18311817,21735.37603760,21757.86855513,1071,42
20.20197304,21645.79354858,21742.18941181,1070,42
20.25875455,21618.90753174,21681.28956671,1067,42
20.29678524,21565.70864868,21644.48004652,1065,42
20.43102675,21435.94564819,21510.56323044,1058,42
20.48910394,21427.98223877,21453.70779129,1055,42
20.54751086,21312.34918213,21401.08546591,1052,42
20.66533401,21235.77929688,21284.01232399,1046,42
20.72475374,21203.22177124,21225.87324813,1043,42
20.74463586,21133.14483643,21207.83752616,1042,42
20.86473712,20934.79043579,21093.06049994,1036,42
20.96588900,20928.99398804,20997.99456401,1031,42
21.00662524,20924.99267578,20959.24379276,1029,42
21.04751960,20849.70910645,20921.99363501,1027,42
21.06802639,20798.28833008,20903.85595614,1026,42
21.12978680,20769.73019409,20851.02392098,1023,42
21.17116373,20758.90374756,20811.16752183,1021,42
21.21270320,20713.99838257,20770.84467916,1019,42
21.27531848,20701.47985840,20711.81222919,1016,42
21.31726757,20690.06127930,20673.17971682,1014,42
21.38050214,20489.33401489,20615.92569507,1011,42
21.44411297,20451.05194092,20559.09857590,1008,42
21.50810354,20412.33389282,20502.32676267,1005,42
21.61560786,20327.97079468,20407.17159283,1000,42
21.65891132,20294.05960083,20368.82529717,998,42
21.81185014,20290.46871948,20233.69081731,991,42
21.83387509,20178.79849243,20214.37665462,990,42
21.90021765,20165.91790771,20156.69897330,987,42
21.92242149,20013.23596191,20137.61641238,986,42
22.01168864,19942.75595093,20062.49809350,982,42
22.05659508,19854.30740356,20025.95696204,980,42
22.23807277,19851.17660522,19869.07468793,972,42
22.28390944,19794.50332642,19831.19466781,970,42
22.30689848,19793.43792725,19812.88811511,969,42
22.32993565,19775.39187622,19792.88755511,968,42
22.35302038,19751.82543945,19773.13057087,967,42
22.44583657,19675.80361938,19699.88883011,963,42
22.46916061,19663.74093628,19683.05920594,962,42
22.49253513,19550.88931274,19661.13796886,961,42
22.63380550,19476.97335815,19542.49583550,955,42
22.68129007,19392.86706543,19505.24366276,953,42
22.82494858,19346.58190918,19389.39254561,947,42
22.94606085,19305.28506470,19295.65673434,942,42
22.97043899,19167.89520264,19273.69696930,941,42
23.04388245,19146.72421265,19215.21084179,938,42
23.11779502,19060.66967773,19162.25788174,935,42
23.21709060,18997.41323853,19080.06965593,931,42
23.31724104,18952.66226196,19003.03428897,927,42
23.39292299,18896.90264893,18945.17683682,924,42
23.44365027,18857.09133911,18908.82909617,922,42
23.46909804,18822.79162598,18886.91739108,921,42
23.52015771,18808.22171021,18848.14844385,919,42
23.57143803,18773.66293335,18814.58773741,917,42
23.59716487,18655.83163452,18790.88197512,916,42
23.80500581,18652.29370117,18636.50590649,908,42
23.85753993,18595.08975220,18596.77668122,906,42
23.88389364,18581.01702881,18578.09993390,905,42
23.93677581,18410.68017578,18541.56759043,903,42
24.09684109,18409.41281128,18422.00078200,897,42
24.12372668,18334.70275879,18403.00956399,896,42
24.20474540,18321.82122803,18344.36818563,893,42
24.31362071,18273.57168579,18266.72354628,889,42
24.36842563,18229.64468384,18230.37831662,887,42
24.39592184,18216.56002808,18209.60343940,886,42
24.42348000,18124.68890381,18189.55425745,885,42
24.53433718,18074.89773560,18111.57162743,881,42
24.56220835,18065.35504150,18093.63129637,880,42
24.59014365,18003.62576294,18073.68124132,879,42
24.67433090,17955.30834961,18017.52411048,876,42
24.70252339,17886.92630005,17994.52380148,875,42
24.81593468,17833.69946289,17916.79314421,871,42
24.95917203,17739.54922485,17819.67797032,866,42
25.10407192,17735.42459106,17725.26266474,861,42
25.13325568,17597.84286499,17702.43663656,860,42
25.33944790,17565.92736816,17567.15766784,853,42
25.39898354,17497.89572144,17527.10692189,851,42
25.45879937,17486.19216919,17487.86035014,849,42
25.48881295,17463.29602051,17468.61564838,848,42
25.54905295,17412.79998779,17430.01261199,846,42
25.60957897,17366.17977905,17390.21270679,844,42
25.67039160,17318.43377686,17352.54426546,842,42
25.70090711,17268.36685181,17332.06879793,841,42
25.79288913,17238.25738525,17274.01505198,838,42
25.82369666,17229.94818115,17253.75300925,837,42
25.91656161,17187.77868652,17195.43652756,834,42
25.94766380,17103.47683716,17179.38796861,833,42
26.13586722,17086.21578979,17057.88569311,827,42
26.16749941,16951.47088623,17039.54549145,826,42
26.23099481,16934.10421753,17001.44642355,824,42
26.29479922,16896.44711304,16963.30505569,822,42
26.42334451,16891.02328491,16885.94585005,818,42
26.45567906,16787.90954590,16863.00960499,817,42
26.55315352,16771.55487061,16807.58934741,814,42
26.58580689,16704.13259888,16784.51373049,813,42
26.61853793,16684.36764526,16767.67320633,812,42
26.68424534,16676.28820801,16727.48177152,810,42
26.71722182,16656.83432007,16705.31077569,809,42
26.81663851,16618.18157959,16646.95031405,806,42
26.88332894,16563.78750610,16607.06861093,804,42
26.95035170,16563.13681030,16567.81599918,802,42
26.98398734,16546.41390991,16551.00391100,801,42
27.05151375,16481.03933716,16511.51590248,799,42
27.08540510,16446.57693481,16489.15643684,798,42
27.18758699,16436.72036743,16430.19202081,795,42
27.22181789,16374.83792114,16413.51306549,794,42
27.25613749,16345.40917969,16391.47377453,793,42
27.32503517,16344.03311157,16351.62562837,791,42
27.35961474,16262.53253174,16331.81295519,790,42
27.39428078,16239.48443604,16314.74620425,789,42
27.53383388,16235.66189575,16233.51312449,785,42
27.56894266,16112.21948242,16217.57364643,784,42
27.71028647,16024.45248413,16135.37625862,780,42
27.85308558,16009.44122314,16057.10725689,776,42
27.96115499,15922.84472656,15997.91453509,773,42
28.14314725,15826.89126587,15898.43929856,768,42
28.29045588,15766.71218872,15819.38380162,764,42
28.36468975,15757.17996216,15780.74650425,762,42
28.40195349,15721.53411865,15760.29881870,761,42
28.51433381,15719.86566162,15700.96110104,758,42
28.55199156,15670.71478271,15681.75178525,757,42
28.62760554,15556.24655151,15645.05244795,755,42
28.70362399,15554.74496460,15602.44685355,753,42
28.85687619,15525.11505127,15522.67758132,749,42
28.89544524,15428.00946045,15502.96241104,748,42
28.93411732,15392.46948242,15483.68480432,747,42
29.20775009,15316.44030762,15345.58221742,740,42
29.28688454,15209.97827148,15305.53520946,738,42
29.52688226,15159.47085571,15185.91188109,732,42
29.60775810,15110.33404541,15146.23034377,730,42
29.68907765,15081.95028687,15107.86360714,728,42
29.77084565,15060.42398071,15068.80234720,726,42
29.81189956,14964.52548218,15047.70625829,725,42
29.93574187,14964.26986694,14987.94437706,722,42
29.97725160,14901.79626465,14968.16246284,721,42
30.14444851,14852.74166870,14888.70642929,717,42
30.22874794,14845.05740356,14850.09009291,715,42
30.35608509,14819.85272217,14792.18366982,712,42
30.39877012,14766.88677979,14771.83039917,711,42
30.44157532,14732.40106201,14751.60604639,710,42
30.57071713,14595.48800659,14691.54940045,707,42
30.78840535,14554.81655884,14593.27502072,702,42
30.87635228,14516.99340820,14552.18438182,700,42
30.92051447,14504.68090820,14531.64228336,699,42
30.96480317,14490.63769531,14511.16163584,698,42
31.09843352,14479.71682739,14450.62267738,695,42
31.14323345,14440.07986450,14430.94058606,694,42
31.18816251,14425.82400513,14411.55716444,693,42
31.23322201,14406.58770752,14391.01713898,692,42
31.27841171,14382.30679321,14370.92389808,691,42
31.32373212,14370.83227539,14351.35843464,690,42
31.41476718,14350.31530762,14314.13674386,688,42
31.46048491,14187.60412598,14292.66056134,687,42
31.59843832,14179.01406860,14232.05373695,684,42
31.83106919,14141.97149658,14131.73570126,679,42
31.87800701,14141.55435181,14111.87222513,678,42
31.92508361,14062.53909302,14091.74183326,677,42
32.01965371,14049.86901855,14054.49391351,675,42
32.06715103,14025.24679565,14032.35726664,674,42
32.16256782,13972.41220093,13991.90047110,672,42
32.25855278,13926.85958862,13954.18726381,670,42
32.30676228,13891.86605835,13931.91516108,669,42
32.40361250,13830.84884644,13892.03487897,667,42
32.59906581,13790.80984497,13812.28943771,663,42
32.69767983,13735.32080078,13771.81365919,661,42
32.84672448,13701.79568481,13711.86963313,658,42
32.94684436,13700.69326782,13673.03019597,656,42
32.99713440,13685.91592407,13651.97203503,655,42
33.04757773,13601.40264893,13631.93601506,654,42
33.09817500,13595.16522217,13612.95077105,653,42
33.19983764,13585.45773315,13571.59042741,651,42
33.25090207,13511.56115723,13553.71440929,650,42
33.35350728,13478.65753174,13511.38310462,648,42
33.40504639,13463.72384644,13492.69543730,647,42
33.56062718,13443.30441284,13431.10531689,644,42
33.61280980,13374.36254883,13411.05899994,643,42
33.82317337,13358.32705688,13331.01423499,639,42
33.87617590,13358.16278076,13311.96953803,638,42
33.92934613,13304.85714722,13290.52652247,637,42
33.98268249,13262.00842285,13271.07841492,636,42
34.08986082,13174.58557129,13230.59163641,634,42
34.14370403,13146.70367432,13210.17192983,633,42
34.47036909,13106.66876221,13089.56090844,627,42
34.58065090,12997.25488281,13049.87495013,625,42
34.74740406,12927.78311157,12989.15599784,622,42
34.91577214,12927.54122925,12930.93921406,619,42
34.97225989,12886.31130981,12908.37504662,618,42
35.08578224,12881.06069946,12869.12859887,616,42
35.14282087,12804.70172119,12848.44299656,615,42
