mean_storage_gib,sampled_mean_recovery_token_layers,exact_mean_recovery_token_layers,g,l
3.48402089,84180.65457153,84512.68659731,6215,42
3.48513879,84102.43905640,84512.48382552,6213,42
3.50710767,84042.20312500,84291.18248282,6174,42
3.50767359,83911.44403076,84291.18248282,6173,42
3.50824149,83826.78308105,84275.91408809,6172,42
3.52649055,83813.66464233,84071.27475473,6140,42
3.52706349,83656.81072998,84070.32563967,6139,42
3.54202662,83634.25933838,83956.52958447,6113,42
3.54260662,83582.31948853,83934.81484919,6112,42
3.54318662,83539.41433716,83916.22042678,6111,42
3.54608661,83539.04187012,83861.60162740,6106,42
3.54666661,83522.89562988,83856.66025434,6105,42
3.56707445,83492.48870850,83647.80114020,6070,42
3.56766155,83432.09057617,83640.94615705,6069,42
3.56883575,83399.25714111,83632.14533785,6067,42
3.56942285,83245.63543701,83629.70800529,6066,42
3.58178906,83087.79565430,83593.66983633,6045,42
3.59187833,82991.37637329,83406.62168138,6028,42
3.59306682,82978.13793945,83405.97932302,6026,42
3.60679934,82805.19442749,83295.22695877,6003,42
3.60920508,82750.51266479,83224.01320499,5999,42
3.62065163,82736.96972656,83118.68069732,5980,42
3.64375851,82696.89657593,82903.52401448,5942,42
3.64436959,82629.54486084,82907.93810806,5941,42
3.65111444,82579.16925049,82814.74611225,5930,42
3.65296226,82503.85656738,82772.20704679,5927,42
3.66530581,82331.69778442,82681.59678540,5907,42
3.67711208,82301.60012817,82525.43162957,5888,42
3.67773534,82261.64245605,82523.02994097,5887,42
3.68210392,82171.00860596,82482.46718553,5880,42
3.68961241,82167.04937744,82482.60410540,5868,42
3.69023811,82166.06863403,82488.31680568,5867,42
3.69086382,82131.09307861,82493.64251236,5866,42
3.69149003,82084.84390259,82494.08060592,5865,42
3.69527375,82034.96890259,82348.08779691,5859,42
3.70347662,81994.88763428,82266.17696282,5846,42
3.71424844,81951.28637695,82214.18898681,5829,42
3.71552448,81882.88690186,82164.73573326,5827,42
3.71616251,81855.02908325,82145.29334371,5826,42
3.72830220,81818.26168823,82012.02909997,5807,42
3.73987149,81711.98458862,81881.07192393,5789,42
3.74051696,81567.23056030,81873.07432493,5788,42
3.75475310,81438.25326538,81820.13283987,5766,42
3.76061821,81305.93585205,81674.37490363,5757,42
3.77501379,81281.81024170,81586.22194378,5735,42
3.77566926,81273.46020508,81592.04830995,5734,42
3.77632473,81162.94400024,81598.01366799,5733,42
3.78754140,81111.13708496,81414.35108065,5716,42
3.78952615,80975.86358643,81390.32349068,5713,42
3.80013951,80862.49923706,81353.89901210,5697,42
3.81083078,80743.42807007,81176.87637112,5681,42
3.82223990,80692.34387207,81109.66778233,5664,42
3.82291559,80389.94934082,81082.10662889,5663,42
3.86445949,80346.53448486,80714.79444121,5602,42
3.87344334,80246.80270386,80529.65709534,5589,42
3.87413441,80209.33636475,80529.16128584,5588,42
3.87551808,80095.26235962,80516.93237907,5586,42
3.88732052,80062.72811890,80434.82327118,5569,42
3.88801934,79863.96029663,80408.38599661,5568,42
3.91328025,79758.68975830,80106.09838190,5532,42
3.93386366,79749.86322021,79899.67778132,5503,42
3.93957922,79740.82565308,79865.16478884,5495,42
3.94029501,79725.85882568,79854.53264247,5494,42
3.94961688,79717.69226074,79827.60292640,5481,42
3.95033395,79591.29956055,79833.67630732,5480,42
3.95105339,79528.92907715,79819.89751610,5479,42
3.95177572,79277.14077759,79786.26709073,5478,42
3.95394269,79128.45040894,79711.52066748,5475,42
3.96696428,79119.99707031,79578.03745096,5457,42
