storage_gib,recovery_token_layers,g1,g2,l
14.05819386,36979.48597537,1525,1584,30
14.07316159,36929.23769685,1536,1552,30
14.07931411,36785.36374358,1525,1576,30
14.10064621,36757.53814072,1525,1568,30
14.12224046,36630.32491945,1525,1560,30
14.16603833,36439.49092739,1525,1544,30
14.18828421,36431.84544264,1525,1536,30
14.21075961,36345.11911083,1525,1528,30
14.25217936,35768.24569390,1520,1525,31
14.30550411,35482.29251267,1512,1525,31
14.41371781,35429.86187071,1496,1525,31
14.44963322,35279.00332954,1496,1512,31
14.52430018,35159.35623577,1480,1525,31
14.56021559,35155.32540293,1480,1512,31
14.58261923,34988.40485052,1480,1504,31
14.62818657,34932.03034264,1480,1488,31
14.69559385,34857.75833538,1464,1504,31
14.71826118,34832.85679134,1464,1496,31
14.74116119,34754.26178027,1464,1488,31
14.78770216,34560.91335507,1464,1472,31
14.90316338,34530.02242249,1448,1472,31
14.90675568,34484.52698234,1432,1512,31
14.95073123,34304.09833292,1448,1456,31
14.99788417,34272.97764672,1432,1480,31
15.02126763,34177.93221734,1432,1472,31
15.03363223,34144.38725701,1440,1448,31
15.09302762,33955.64576925,1432,1448,31
15.11747984,33858.37119371,1432,1440,31
15.20220305,33828.37115527,1424,1432,31
15.23820352,33769.59667200,1416,1440,31
15.26294167,33673.21804257,1416,1432,31
15.28792543,33616.60393086,1416,1424,31
15.33725952,33560.01705524,1400,1448,31
15.37461465,33462.34779466,1408,1416,31
15.41143366,33406.48294476,1400,1424,31
15.43673127,33252.16899914,1400,1416,31
15.46230085,33190.23897330,1400,1408,31
15.55093456,33180.39659203,1392,1400,31
15.55742054,33111.44659087,1392,1398,31
15.56001425,32408.70245025,1392,1398,32
15.64411187,32305.08590674,1384,1392,32
15.73490155,32164.62327756,1376,1384,32
15.76346793,32161.26900260,1368,1398,32
15.82674279,32030.59935562,1368,1376,32
15.87291352,31984.64200910,1360,1384,32
15.91966355,31901.14173228,1360,1368,32
15.97416409,31898.31674651,1344,1398,32
15.98984758,31873.06023161,1352,1368,32
16.01419836,31841.65668061,1344,1384,32
16.04607296,31776.52316645,1336,1398,32
16.06094839,31746.57870940,1344,1368,32
16.08473565,31608.04186147,1344,1360,32
16.15664452,31516.58913632,1336,1360,32
16.18069659,31477.09817913,1336,1352,32
16.20565540,31468.33456877,1328,1368,32
16.22944266,31452.80744033,1328,1360,32
16.25349473,31380.49715490,1328,1352,32
16.27786097,31355.88199742,1328,1344,32
16.32715332,31269.37142440,1320,1352,32
16.37616274,31152.98744310,1320,1336,32
16.45072631,31111.37158588,1312,1336,32
16.45903250,31096.25452141,1296,1384,32
16.47567423,30994.13524237,1312,1328,32
16.50091703,30956.24720103,1312,1320,32
16.57636857,30938.92412801,1304,1320,32
16.60192151,30863.57561054,1304,1312,32
16.60263128,30816.50851993,1296,1336,32
16.62757920,30813.28531004,1296,1328,32
16.65282200,30695.02869710,1296,1320,32
16.70423218,30517.69208292,1296,1304,32
16.76461801,30511.68031804,1272,1360,32
16.78867008,30488.99567852,1272,1352,32
16.81303632,30451.76742434,1272,1344,32
16.83405963,30445.13407357,1280,1312,32
16.83767949,30327.95864604,1272,1336,32
16.86262741,30223.89956016,1272,1328,32
16.91261383,30187.13407357,1280,1288,32
16.91342315,30167.72633182,1272,1312,32
16.93928039,30143.60899053,1272,1304,32
16.96548098,30103.79178457,1272,1296,32
16.99197735,29936.90700357,1272,1288,32
17.01883413,29883.58730623,1272,1280,32
17.13065978,29287.29226420,1264,1271,33
17.21310467,29207.35454505,1256,1271,33
17.23625166,29083.45398622,1256,1264,33
17.34649252,29012.45836922,1248,1256,33
17.38121125,28996.06751257,1240,1271,33
17.40435824,28948.89540785,1240,1264,33
17.43111602,28819.47374815,1240,1256,33
17.45821076,28715.32823265,1240,1248,33
17.57134661,28666.05542569,1232,1240,33
17.68593364,28639.77955832,1224,1232,33
17.73078552,28385.29521888,1208,1271,33
17.75393251,28364.38449649,1208,1264,33
17.78069030,28329.01767809,1208,1256,33
17.83524990,28255.35438453,1208,1240,33
17.86305473,28129.98722779,1208,1232,33
17.89122020,28080.89670737,1208,1224,33
18.01004367,28045.69174459,1200,1216,33
18.09937124,28005.03018164,1176,1271,33
18.12251823,27934.85238527,1176,1264,33
18.14927602,27932.70865373,1176,1256,33
18.17637075,27864.44207523,1176,1248,33
18.19471656,27768.01696345,1168,1271,33
18.21786355,27718.11464998,1168,1264,33
18.24462134,27681.38796444,1168,1256,33
18.27171607,27644.18576218,1168,1248,33
18.29918093,27567.52815883,1168,1240,33
18.32698576,27533.60542261,1168,1232,33
18.35515124,27448.02477547,1168,1224,33
18.38369159,27387.31962045,1168,1216,33
18.40639464,27371.01466382,1176,1184,33
18.41263653,27346.92982591,1168,1208,33
